"Average",,,,,,,,,,,"P0",,,,,,,,,,"P1",,,,,,,,,,"P2",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
22,66.18,7.30987,-694.916,0.00435595,-0.000113291,0.00115597,0.00515149,0.000373311,0.00025577,0.00156611,57.7388,10.3303,-695.125,0.00314398,-0.000275386,0.00373329,0.00488941,0.000447821,0.000262209,0.0019374,57.9435,8.07444,-696.71,0.0034398,-0.00022812,0.00131435,0.00374818,0.000352242,0.000220953,0.00151978,58.4098,5.4752,-698.512,0.00470957,0.000382906,-0.00268876,0.00543978,0.000288534,0.000188327,0.00123132
23,66.1966,7.30455,-694.915,0.00427521,-0.000425895,0.00146403,0.00504112,0.000373032,0.000255512,0.00156462,57.7388,10.3303,-695.125,0.00362304,-0.000190895,0.0017754,0.00404124,0.000448101,0.00026325,0.00193879,57.9435,8.07444,-696.71,0.00426546,-0.000270501,-0.000367272,0.00431051,0.000346474,0.000219849,0.00149538,58.4098,5.4752,-698.512,0.0045976,-3.22676e-05,-0.00192955,0.00499155,0.000288807,0.000188632,0.00123252
24,66.2143,7.309,-694.907,0.00434107,-0.000696308,0.00098925,0.00514799,0.000371436,0.000253456,0.0015577,57.7388,10.3303,-695.125,0.00346541,-0.000430428,0.00316365,0.00471567,0.00045237,0.000259158,0.00195589,57.9435,8.07444,-696.71,0.00421165,-0.000522378,0.000757809,0.00433148,0.000345382,0.000216492,0.00149017,58.4098,5.4752,-698.512,0.00428615,-0.000458557,-0.000446123,0.00435005,0.000283812,0.00018703,0.00121163
25,66.18,7.30987,-694.916,0.00409303,-0.00100555,0.00208374,0.00540916,0.000370854,0.000254414,0.00155617,57.7388,10.3303,-695.125,0.00310557,-0.00072567,0.00268552,0.00417691,0.000447506,0.000257276,0.00193504,57.9435,8.07444,-696.71,0.00353953,-0.000633999,0.000838736,0.00375064,0.000349758,0.000218402,0.00150888,58.4098,5.4752,-698.512,0.00440945,-0.000520146,-0.00112056,0.00457989,0.000289273,0.000188728,0.00123445
26,66.18,7.30987,-694.916,0.00395602,-0.000936198,0.00289902,0.00550433,0.000371341,0.000254652,0.00155777,57.7388,10.3303,-695.125,0.00260361,-0.000741817,0.00638861,0.00693961,0.000445694,0.000261873,0.00192838,57.9435,8.07444,-696.71,0.00345353,-0.000496979,0.00314132,0.00473257,0.00034383,0.000220775,0.00148447,58.4098,5.4752,-698.512,0.00425634,-0.000425991,0.000202473,0.00429259,0.000285586,0.000189604,0.00121957
27,66.1183,7.31048,-694.933,0.00386327,-0.000639947,0.00288825,0.00537718,0.000371437,0.000254153,0.00155875,57.7388,10.3303,-695.125,0.00260536,-0.000538851,0.0081916,0.00861389,0.000448282,0.000258966,0.00193865,57.9435,8.07444,-696.71,0.00341768,-0.000530411,0.00394866,0.00529896,0.000344463,0.00021599,0.00148621,58.4098,5.4752,-698.512,0.00461263,-0.000297116,-0.000793832,0.00469778,0.000285806,0.000188833,0.00122027
28,66.18,7.30987,-694.916,0.00367951,-0.000340346,0.00338192,0.0054286,0.000370947,0.000254094,0.00155611,57.7388,10.3303,-695.125,0.00325316,-0.000141454,0.00573519,0.00660388,0.000436889,0.000258753,0.00189071,57.9435,8.07444,-696.71,0.00374426,7.56423e-05,0.00315347,0.00492904,0.000340057,0.000219358,0.00146835,58.4098,5.4752,-698.512,0.00409553,8.46258e-05,0.00201961,0.00458904,0.000283391,0.000186701,0.00120982
29,66.1568,7.31323,-694.92,0.00352874,5.49574e-05,0.00269479,0.00493059,0.000372193,0.000253638,0.00156181,57.7388,10.3303,-695.125,0.00346477,0.00044537,0.00200775,0.00405732,0.000450789,0.000255906,0.00194858,57.9435,8.07444,-696.71,0.00348728,0.000606536,0.0007737,0.00367878,0.000344615,0.000213222,0.00148636,58.4098,5.4752,-698.512,0.00391467,0.000692515,-0.00149157,0.00425538,0.000284641,0.000185594,0.00121466
30,66.18,7.30987,-694.916,0.0035242,0.000315511,0.00198268,0.00462886,0.000371772,0.00025459,0.00155969,57.7388,10.3303,-695.125,0.00258611,0.000599718,0.00534173,0.00597031,0.000446445,0.000257793,0.00193069,57.9435,8.07444,-696.71,0.00314043,0.000773789,0.00164822,0.00365951,0.000345761,0.000216742,0.00149181,58.4098,5.4752,-698.512,0.00332278,0.000701895,0.000924152,0.00353728,0.000285823,0.00018885,0.00122035
31,66.1568,7.31323,-694.92,0.00341636,0.0002902,0.000920481,0.00413804,0.000371154,0.000254127,0.0015573,57.7388,10.3303,-695.125,0.00306481,0.000440351,0.00136254,0.00340772,0.000445161,0.000258379,0.00192542,57.9435,8.07444,-696.71,0.00366883,0.000713738,-0.0011743,0.00392595,0.000345177,0.000216987,0.00148941,58.4098,5.4752,-698.512,0.00338768,0.000664073,0.000365319,0.00349395,0.000283515,0.000186991,0.00121041
32,66.1568,7.31323,-694.92,0.00320782,-2.12361e-05,0.000876789,0.00417831,0.000370349,0.000253493,0.0015541,57.7388,10.3303,-695.125,0.00284782,0.000317927,0.000978739,0.00302993,0.000445366,0.000259463,0.00192651,57.9435,8.07444,-696.71,0.00345846,0.000332082,-0.000668187,0.00356165,0.000348261,0.000218869,0.0015027,58.4098,5.4752,-698.512,0.00399038,0.000535884,-0.00258433,0.00479003,0.000287445,0.000188177,0.00122682
33,66.18,7.30987,-694.916,0.00289595,-0.000370814,0.0014229,0.00429988,0.000371855,0.00025382,0.00156002,57.7388,10.3303,-695.125,0.00229088,0.000340272,0.0035006,0.00422228,0.000450094,0.000258974,0.00194629,57.9435,8.07444,-696.71,0.00288165,-4.60581e-06,0.00126331,0.0032454,0.000348127,0.000218748,0.00150212,58.4098,5.4752,-698.512,0.00361535,-1.63109e-05,-0.00189145,0.00410207,0.000284768,0.000185877,0.00121526
34,66.1568,7.31323,-694.92,0.00245925,-0.000742658,0.00284851,0.00453745,0.000370564,0.000254129,0.0015553,57.7388,10.3303,-695.125,0.00210366,-0.000151803,0.00389008,0.00442843,0.000451091,0.000261793,0.00195107,57.9435,8.07444,-696.71,0.00282878,-0.000259178,0.00113055,0.00310519,0.000343751,0.000219584,0.00148392,58.4098,5.4752,-698.512,0.00312427,-0.000237559,-1.70263e-05,0.00315305,0.000279956,0.000187525,0.00119597
35,66.18,7.30987,-694.916,0.00218957,-0.000744584,0.00372449,0.00478544,0.000370629,0.000253175,0.00155497,57.7388,10.3303,-695.125,0.00204483,-5.91934e-06,0.00654655,0.00686239,0.000451178,0.000262852,0.00195164,57.9435,8.07444,-696.71,0.00232821,-0.000332134,0.00323449,0.00405113,0.000348708,0.000217423,0.0015043,58.4098,5.4752,-698.512,0.00294421,-0.00039684,-6.04182e-05,0.00297452,0.000284113,0.000182966,0.00121182
36,66.1568,7.31323,-694.92,0.00198705,-0.000613813,0.00385895,0.00477468,0.00037146,0.000253974,0.00155875,57.7388,10.3303,-695.125,0.00165031,0.000181239,0.00607297,0.00630166,0.000450707,0.000265552,0.00195024,57.9435,8.07444,-696.71,0.00242492,-0.000268547,0.00237542,0.00344009,0.000344939,0.00022091,0.00148915,58.4098,5.4752,-698.512,0.00277267,-0.000295458,0.00102309,0.00299303,0.000284743,0.000188754,0.0012159
37,66.1568,7.31323,-694.92,0.0016987,-0.000356812,0.00435951,0.0050153,0.000370279,0.000252542,0.00155372,57.7388,10.3303,-695.125,0.000833867,0.000474887,0.00768192,0.00774199,0.000449924,0.000263139,0.00194644,57.9435,8.07444,-696.71,0.00167615,-0.00011695,0.00373461,0.00411945,0.000348405,0.000220457,0.00150361,58.4098,5.4752,-698.512,0.00206144,-9.04096e-05,0.00220935,0.00304206,0.0002865,0.000188928,0.00122315
38,66.18,7.30987,-694.916,0.00196167,0.000211005,0.00241148,0.00381882,0.000370522,0.00025317,0.00155416,57.7388,10.3303,-695.125,0.000899033,0.00067372,0.00570838,0.00581903,0.000447513,0.000259992,0.00193565,57.9435,8.07444,-696.71,0.00238858,0.000590464,-7.14146e-06,0.0025515,0.000340819,0.000217266,0.00147119,58.4098,5.4752,-698.512,0.00266928,0.000597654,-0.000729971,0.00284978,0.000283143,0.000187905,0.00120913
39,66.1568,7.31323,-694.92,0.00157911,0.000311539,0.00279695,0.00393346,0.000371163,0.000253639,0.00155734,57.7388,10.3303,-695.125,0.00166306,0.000967387,0.00157398,0.00249622,0.000444967,0.00025746,0.00192443,57.9435,8.07444,-696.71,0.00205171,0.000516068,0.000867032,0.00233327,0.000344695,0.000216923,0.00148738,58.4098,5.4752,-698.512,0.00240339,0.000733791,-0.00135682,0.00285698,0.0002841,0.000186679,0.00121273
40,66.1568,7.31323,-694.92,0.00148926,0.000248633,0.00231426,0.00352734,0.000369649,0.000253322,0.00155117,57.7388,10.3303,-695.125,0.00100332,0.000444848,0.00426218,0.00440249,0.000444656,0.00025913,0.00192346,57.9435,8.07444,-696.71,0.00163464,0.000281416,-0.000145181,0.00171578,0.000345167,0.000217756,0.00148952,58.4098,5.4752,-698.512,0.00184348,0.000579041,-0.00012716,0.00194864,0.000283293,0.000185923,0.00120923
41,66.191,7.31237,-694.911,0.00130159,-1.08557e-05,0.00238853,0.00361383,0.000369902,0.000252976,0.00155155,57.7388,10.3303,-695.125,0.00129249,0.000627482,0.00162961,0.00220825,0.000445308,0.000257721,0.00192591,57.9435,8.07444,-696.71,0.00134553,0.000236568,0.000192861,0.0015169,0.000344554,0.00021703,0.00148681,58.4098,5.4752,-698.512,0.00200573,0.000397634,-0.00167686,0.00265189,0.000282758,0.000187978,0.00120758
42,66.1568,7.31323,-694.92,0.0011887,-0.000261648,0.00195727,0.00328288,0.000370622,0.000253304,0.00155469,57.7388,10.3303,-695.125,0.000547751,0.000272941,0.00261069,0.00269522,0.000445598,0.000260724,0.00192777,57.9435,8.07444,-696.71,0.00193985,0.000263416,-0.00321109,0.00376701,0.000344407,0.000215514,0.00148592,58.4098,5.4752,-698.512,0.00195921,7.34606e-05,-0.00256048,0.00323683,0.000284903,0.000185914,0.00121583
43,66.1568,7.31323,-694.92,0.000819059,-0.000603896,0.00336547,0.00407124,0.000370864,0.000253569,0.00155632,57.7388,10.3303,-695.125,4.50886e-05,8.34311e-05,0.00447903,0.00448225,0.000449415,0.000258148,0.00194328,57.9435,8.07444,-696.71,0.000626474,-0.000399985,0.0020252,0.00217072,0.000345376,0.00021789,0.00149043,58.4098,5.4752,-698.512,0.00096833,-0.000462969,0.000637592,0.00127202,0.000285411,0.000187406,0.0012183
44,66.18,7.30987,-694.916,0.00077556,-0.000521965,0.0033548,0.00381134,0.000370473,0.000252593,0.00155446,57.7388,10.3303,-695.125,0.000328029,5.88235e-06,0.0038276,0.00384309,0.000446137,0.00025338,0.00192852,57.9435,8.07444,-696.71,0.000560536,-0.000260893,0.00185229,0.00197066,0.000343669,0.000213547,0.00148246,58.4098,5.4752,-698.512,0.000933493,-0.000265143,0.000312075,0.00107353,0.000283558,0.000186006,0.00121034
45,66.0805,7.30999,-694.944,0.000317595,-0.000463446,0.00455537,0.00493208,0.000370226,0.000252925,0.00155417,57.7388,10.3303,-695.125,-0.000111107,0.00038352,0.00564591,0.00566077,0.000441045,0.000255279,0.00190748,57.9435,8.07444,-696.71,0.000607372,0.000115803,0.00199713,0.00215586,0.000342689,0.000213879,0.00147839,58.4098,5.4752,-698.512,0.00138988,0.000146003,-0.0015014,0.00207616,0.000283218,0.000182279,0.00120799
46,66.0885,7.31341,-694.939,0.000316008,1.42992e-05,0.00404149,0.004642,0.000370945,0.000253632,0.00155729,57.7388,10.3303,-695.125,0.000115966,0.000397283,0.00490102,0.00491957,0.000449736,0.000263051,0.00194565,57.9435,8.07444,-696.71,0.000402138,0.000375406,0.00249835,0.00256396,0.000349597,0.000218981,0.00150835,58.4098,5.4752,-698.512,0.000651719,0.000274351,0.00112971,0.0013543,0.000288529,0.000186552,0.00123086
