"Average",,,,,,,,"P0",,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement"
112,3.84839,2.93288,-505.844,-0.00350065,-0.00309257,0.00381129,0.00604796,4.033,3.03709,-505.638,-0.00347348,-0.00308136,0.00373263,0.00596122
113,3.84839,2.93288,-505.844,-0.00326029,-0.00334483,0.00391694,0.00611091,4.033,3.03709,-505.638,-0.00323887,-0.00332716,0.00373567,0.00596298
114,3.84839,2.93288,-505.844,-0.0030582,-0.00351376,0.00445597,0.00645274,4.033,3.03709,-505.638,-0.00304087,-0.00348983,0.00420681,0.00625649
115,3.84839,2.93288,-505.844,-0.00281729,-0.00380553,0.00399064,0.00621007,4.033,3.03709,-505.638,-0.0027838,-0.00375122,0.0038239,0.00604197
116,3.84839,2.93288,-505.844,-0.00259704,-0.00394048,0.00433271,0.00641421,4.033,3.03709,-505.638,-0.00254818,-0.00393182,0.00412646,0.00624506
117,3.84839,2.93288,-505.844,-0.00224174,-0.00408595,0.00428101,0.0063585,4.033,3.03709,-505.638,-0.00222782,-0.0040724,0.00401564,0.00614394
118,3.84839,2.93288,-505.844,-0.00201126,-0.00416635,0.0044949,0.00645981,4.033,3.03709,-505.638,-0.0019706,-0.00415931,0.00448117,0.00642622
119,3.84839,2.93288,-505.844,-0.00162859,-0.0042927,0.00452406,0.00645983,4.033,3.03709,-505.638,-0.00161083,-0.00428014,0.00429473,0.00627673
120,3.84839,2.93288,-505.844,-0.00115788,-0.00420485,0.00381595,0.00580256,4.033,3.03709,-505.638,-0.00113849,-0.00420984,0.00363724,0.00568047
121,3.84839,2.93288,-505.844,-0.000834596,-0.00416058,0.00425679,0.00601541,4.033,3.03709,-505.638,-0.000800943,-0.00416698,0.0041455,0.00593372
122,3.84839,2.93288,-505.844,-0.00056145,-0.0040348,0.00419435,0.00586852,4.033,3.03709,-505.638,-0.000557402,-0.00404439,0.00399489,0.00571611
123,3.84839,2.93288,-505.844,-0.000290714,-0.00392719,0.00376031,0.00545848,4.033,3.03709,-505.638,-0.000268904,-0.00391583,0.00351724,0.00527354
124,3.84839,2.93288,-505.844,9.22234e-05,-0.00380037,0.00394018,0.00548227,4.033,3.03709,-505.638,0.000103821,-0.00382118,0.00384053,0.00542006
125,3.84839,2.93288,-505.844,0.000395451,-0.00371997,0.00381568,0.00535103,4.033,3.03709,-505.638,0.000415767,-0.00372372,0.0036441,0.00522807
126,3.84839,2.93288,-505.844,0.000648968,-0.00341925,0.0036798,0.00509265,4.033,3.03709,-505.638,0.000689773,-0.00340635,0.00342681,0.00488557
127,3.84839,2.93288,-505.844,0.00103512,-0.00325298,0.00323552,0.0047299,4.033,3.03709,-505.638,0.00104963,-0.00323476,0.00304493,0.00457029
128,3.84839,2.93288,-505.844,0.00132182,-0.0031254,0.00253514,0.00426398,4.033,3.03709,-505.638,0.00132706,-0.00314953,0.00238897,0.00417504
129,3.84839,2.93288,-505.844,0.00162303,-0.00278459,0.00266426,0.00422286,4.033,3.03709,-505.638,0.0016446,-0.0028027,0.00243746,0.00407071
130,3.84839,2.93288,-505.844,0.00177572,-0.00242451,0.00268239,0.00408134,4.033,3.03709,-505.638,0.00180416,-0.00240509,0.00237174,0.00384045
131,3.84839,2.93288,-505.844,0.0019709,-0.00213178,0.00203167,0.00355179,4.033,3.03709,-505.638,0.00199472,-0.00213156,0.00192623,0.0034985
132,3.84839,2.93288,-505.844,0.00220636,-0.00169603,0.0013051,0.00318473,4.033,3.03709,-505.638,0.00221854,-0.00168409,0.000960634,0.00296861
133,3.84839,2.93288,-505.844,0.0023165,-0.00154896,0.00154681,0.00322784,4.033,3.03709,-505.638,0.0023471,-0.00155168,0.00142155,0.00316147
134,3.84839,2.93288,-505.844,0.00222603,-0.00122659,0.000811979,0.00272199,4.033,3.03709,-505.638,0.00228098,-0.00121808,0.000695447,0.00268847
135,3.84839,2.93288,-505.844,0.00237201,-0.00100691,0.000450032,0.00267443,4.033,3.03709,-505.638,0.00239967,-0.00100581,0.000208333,0.00262188
136,3.84839,2.93288,-505.844,0.00229886,-0.000632847,0.000158412,0.00243274,4.033,3.03709,-505.638,0.00232403,-0.000631524,-1.1489e-05,0.00241573
137,3.84839,2.93288,-505.844,0.00236511,-0.000297139,4.79411e-06,0.0025194,4.033,3.03709,-505.638,0.0024065,-0.000259943,-0.000435858,0.00247686
138,3.84839,2.93288,-505.844,0.00240217,-2.71145e-05,-0.00114288,0.00270887,4.033,3.03709,-505.638,0.00242182,-3.05449e-05,-0.00129051,0.0027541
139,3.84839,2.93288,-505.844,0.00234592,0.000315683,-0.00167167,0.00294139,4.033,3.03709,-505.638,0.00238046,0.000298151,-0.00187138,0.00305052
140,3.84839,2.93288,-505.844,0.00217447,0.000467327,-0.00177616,0.00286232,4.033,3.03709,-505.638,0.00217177,0.000480527,-0.00192936,0.00294704
141,3.84839,2.93288,-505.844,0.00203289,0.000721723,-0.00229087,0.00316145,4.033,3.03709,-505.638,0.00203822,0.000743213,-0.00270752,0.00347008
142,3.84839,2.93288,-505.844,0.00172899,0.000861068,-0.0029817,0.00356968,4.033,3.03709,-505.638,0.00177406,0.000872844,-0.00289623,0.00351174
143,3.84839,2.93288,-505.844,0.00174898,0.0011407,-0.00321835,0.0038486,4.033,3.03709,-505.638,0.00174803,0.00117661,-0.0034309,0.00402787
144,3.84839,2.93288,-505.844,0.00151554,0.00139433,-0.00375051,0.00428252,4.033,3.03709,-505.638,0.00152358,0.00139801,-0.00397135,0.00447801
145,3.84839,2.93288,-505.844,0.00134849,0.00162755,-0.00317712,0.00381923,4.033,3.03709,-505.638,0.00139198,0.00163086,-0.00329022,0.00392756
146,3.84839,2.93288,-505.844,0.00109922,0.00189869,-0.0047155,0.00520644,4.033,3.03709,-505.638,0.00110303,0.00192359,-0.00479979,0.00528885
147,3.84839,2.93288,-505.844,0.00105242,0.00218359,-0.00445144,0.00507227,4.033,3.03709,-505.638,0.00109888,0.00219162,-0.00452367,0.00514616
148,3.84839,2.93288,-505.844,0.000733416,0.00236381,-0.0049797,0.00556302,4.033,3.03709,-505.638,0.000777071,0.00234483,-0.00513645,0.00569982
149,3.84839,2.93288,-505.844,0.000562293,0.00262491,-0.00511405,0.00578136,4.033,3.03709,-505.638,0.000580206,0.00263469,-0.00525539,0.00590859
150,3.84839,2.93288,-505.844,0.000351094,0.00275357,-0.00536064,0.00604977,4.033,3.03709,-505.638,0.000372246,0.00275813,-0.0056518,0.00630178
151,3.84839,2.93288,-505.844,0.000119791,0.00298722,-0.00616054,0.00685489,4.033,3.03709,-505.638,0.000117943,0.00297699,-0.00638524,0.00704729
152,3.84839,2.93288,-505.844,-0.000135658,0.00328994,-0.00641926,0.00722129,4.033,3.03709,-505.638,-0.00014336,0.0032902,-0.0065578,0.00734012
153,3.84839,2.93288,-505.844,-0.000334056,0.00342106,-0.00665969,0.0075,4.033,3.03709,-505.638,-0.000310405,0.00340737,-0.00681763,0.00762934
154,3.84839,2.93288,-505.844,-0.000434253,0.00348475,-0.00613387,0.00707501,4.033,3.03709,-505.638,-0.000428143,0.00349815,-0.00637132,0.00728233
155,3.84839,2.93288,-505.844,-0.000596287,0.00366218,-0.00688974,0.00783335,4.033,3.03709,-505.638,-0.000571713,0.00365336,-0.00707629,0.00798561
156,3.84839,2.93288,-505.844,-0.000783928,0.00380335,-0.00789245,0.00880341,4.033,3.03709,-505.638,-0.000765321,0.00381997,-0.00826611,0.00913933
157,3.84839,2.93288,-505.844,-0.00106218,0.00389552,-0.00757464,0.00858851,4.033,3.03709,-505.638,-0.00108891,0.00390064,-0.0077364,0.00873302
158,3.84839,2.93288,-505.844,-0.00124693,0.00417872,-0.00768279,0.00883824,4.033,3.03709,-505.638,-0.00119686,0.00422119,-0.00792049,0.00905529
159,3.84839,2.93288,-505.844,-0.0013949,0.00422072,-0.00784899,0.00903466,4.033,3.03709,-505.638,-0.00137624,0.00422033,-0.00817995,0.0093092
160,3.84839,2.93288,-505.844,-0.00152538,0.00416085,-0.00772851,0.00891564,4.033,3.03709,-505.638,-0.00151472,0.00416302,-0.00800711,0.00915213
161,3.84839,2.93288,-505.844,-0.00183113,0.00417489,-0.00836341,0.00953122,4.033,3.03709,-505.638,-0.00181927,0.00418731,-0.00861683,0.00975269
162,3.84839,2.93288,-505.844,-0.00197024,0.00397682,-0.00877178,0.00983823,4.033,3.03709,-505.638,-0.00198258,0.00395871,-0.00908532,0.010108
163,3.84839,2.93288,-505.844,-0.0020495,0.00383228,-0.00925945,0.0102363,4.033,3.03709,-505.638,-0.00202664,0.00383075,-0.00949837,0.0104418
