"R0",,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
79,2.5972,15.5735,-411.578,0.000279788,-0.00404268,0.0124162,0.013074,0.00018988,0.000195303,0.000983513
80,2.5972,15.5735,-411.578,0.000444189,-0.00400402,0.0125813,0.0132172,0.00018822,0.000193754,0.000974839
81,2.5972,15.5735,-411.578,0.000759794,-0.00434518,0.0126264,0.0133894,0.00018702,0.00019265,0.000968691
82,2.5972,15.5735,-411.578,0.000904931,-0.00441846,0.0131247,0.0138915,0.000190759,0.000195932,0.000987991
83,2.5972,15.5735,-411.578,0.000701231,-0.00428041,0.0131001,0.0138098,0.000188801,0.00019368,0.000977942
84,2.5972,15.5735,-411.578,0.000157834,-0.00422826,0.013762,0.0144055,0.000189759,0.000194938,0.000982877
85,2.5972,15.5735,-411.578,-0.000653566,-0.00434583,0.0142778,0.0149482,0.000189826,0.000195024,0.000983341
86,2.5972,15.5735,-411.578,-0.00168205,-0.00450788,0.0144536,0.0152426,0.000187381,0.000192654,0.000970398
87,2.5972,15.5735,-411.578,-0.00263152,-0.00478998,0.0136654,0.0147316,0.000186876,0.000192085,0.000967957
88,2.5972,15.5735,-411.578,-0.00284754,-0.00479321,0.0147309,0.0157573,0.000189149,0.00019444,0.000979669
89,2.5972,15.5735,-411.578,-0.00263482,-0.00517742,0.0147965,0.015912,0.000191957,0.000196654,0.000993954
90,2.5972,15.5735,-411.578,-0.00227631,-0.0053849,0.0157608,0.0168215,0.000190942,0.000196207,0.000988967
91,2.5972,15.5735,-411.578,-0.00232041,-0.00535297,0.0153118,0.0163956,0.000191224,0.000196186,0.000990191
92,2.5972,15.5735,-411.578,-0.00239995,-0.0056283,0.0156079,0.0167865,0.000187067,0.000192474,0.000968986
93,2.5972,15.5735,-411.578,-0.00296833,-0.00542274,0.0166823,0.0177963,0.000189962,0.000195298,0.000984041
94,2.5972,15.5735,-411.578,-0.0041138,-0.00556452,0.0159785,0.0174312,0.000192539,0.000197631,0.000997378
95,2.5972,15.5735,-411.578,-0.00489615,-0.00554659,0.015946,0.0175949,0.000190868,0.000196036,0.000988489
96,2.5972,15.5735,-411.578,-0.00565865,-0.00555877,0.0159515,0.0178357,0.000191112,0.000196522,0.00098997
97,2.5972,15.5735,-411.578,-0.00605249,-0.00576286,0.0164486,0.0184667,0.000190806,0.000195855,0.000988309
98,2.5972,15.5735,-411.578,-0.00581563,-0.00592142,0.0168404,0.0187884,0.00019026,0.000195282,0.000985164
99,2.5972,15.5735,-411.578,-0.00562933,-0.00612383,0.0171083,0.019033,0.000194306,0.000199135,0.00100616
100,2.5972,15.5735,-411.578,-0.00533994,-0.00598767,0.0171723,0.0189658,0.000191515,0.000196923,0.000992052
101,2.5972,15.5735,-411.578,-0.00545609,-0.00586842,0.0171394,0.0189444,0.000191773,0.000197032,0.000993162
102,2.5972,15.5735,-411.578,-0.00601684,-0.00543306,0.0161774,0.0181093,0.000194291,0.000199013,0.00100608
103,2.5972,15.5735,-411.578,-0.00696667,-0.00543719,0.0161422,0.0184296,0.000190233,0.000195787,0.000985305
104,2.5972,15.5735,-411.578,-0.00772386,-0.0052506,0.0169109,0.0193466,0.000195608,0.000201373,0.00101293
105,2.5972,15.5735,-411.578,-0.00824947,-0.0053007,0.0174059,0.0199876,0.000197333,0.000202323,0.00102212
106,2.5972,15.5735,-411.578,-0.00821145,-0.00527638,0.0182189,0.0206824,0.000193778,0.000199219,0.00100347
107,2.5972,15.5735,-411.578,-0.00788553,-0.00530465,0.0175745,0.0200034,0.000191527,0.000196778,0.000991937
108,2.5972,15.5735,-411.578,-0.00727025,-0.00545905,0.0178606,0.0200597,0.000193369,0.000198924,0.00100139
109,2.5972,15.5735,-411.578,-0.00675506,-0.00519538,0.017274,0.0192725,0.000189899,0.000195274,0.000983496
110,2.5972,15.5735,-411.578,-0.00625651,-0.00490334,0.0168516,0.0186397,0.000192472,0.000197676,0.000996723
111,2.5972,15.5735,-411.578,-0.0062683,-0.00457444,0.0172981,0.0189688,0.0001897,0.00019465,0.000982494
112,2.5972,15.5735,-411.578,-0.00664694,-0.00442443,0.0168124,0.0186226,0.000193141,0.000198838,0.00100035
113,2.5972,15.5735,-411.578,-0.00721951,-0.00428174,0.0165473,0.0185665,0.000190688,0.000196133,0.000987505
114,2.5972,15.5735,-411.578,-0.00737775,-0.00413729,0.0158809,0.0180217,0.000192748,0.000198222,0.000998287
115,2.5972,15.5735,-411.578,-0.00717181,-0.00412468,0.0151013,0.0172422,0.000196668,0.000202039,0.00101832
116,2.5972,15.5735,-411.578,-0.00648195,-0.00417764,0.015156,0.0170241,0.00019105,0.000196347,0.000989515
117,2.5972,15.5735,-411.578,-0.00549268,-0.00420889,0.0148698,0.0164106,0.000191956,0.000197302,0.000994205
118,2.5972,15.5735,-411.578,-0.00441486,-0.00405525,0.0141558,0.0153783,0.000188589,0.000193812,0.000976621
119,2.5972,15.5735,-411.578,-0.00368932,-0.00396936,0.0132331,0.0143102,0.000191496,0.000196886,0.000991916
120,2.5972,15.5735,-411.578,-0.00345056,-0.00370654,0.0127966,0.013776,0.000190664,0.000195325,0.000987632
121,2.5972,15.5735,-411.578,-0.00378956,-0.0034212,0.0119513,0.0130051,0.000190115,0.000195674,0.00098464
122,2.5972,15.5735,-411.578,-0.00401993,-0.00321634,0.0105079,0.0117164,0.000189844,0.000195205,0.000983179
123,2.5972,15.5735,-411.578,-0.0042633,-0.00287366,0.010802,0.0119765,0.000189271,0.000194642,0.000980318
124,2.5972,15.5735,-411.578,-0.00410606,-0.00295637,0.0101875,0.0113829,0.000188212,0.000193429,0.000975046
125,2.5972,15.5735,-411.578,-0.00341849,-0.00283127,0.00953953,0.0105455,0.00018804,0.000193063,0.000973934
126,2.5972,15.5735,-411.578,-0.00271362,-0.00291741,0.00933783,0.0101757,0.000191583,0.000196889,0.000992237
127,2.5972,15.5735,-411.578,-0.00173525,-0.00290289,0.00798352,0.00868274,0.000190126,0.000195248,0.000984737
128,2.5972,15.5735,-411.578,-0.00108788,-0.00268714,0.00732704,0.00788993,0.000186755,0.00019196,0.000967552
129,2.5972,15.5735,-411.578,-0.00101373,-0.00244715,0.00589884,0.00657002,0.000187045,0.000192236,0.000969018
130,2.5972,15.5735,-411.578,-0.0010694,-0.00220561,0.00544904,0.0060306,0.000186399,0.000191965,0.00096576
131,2.5972,15.5735,-411.578,-0.00161147,-0.00177059,0.00616636,0.00666677,0.000192768,0.000197834,0.000998339
132,2.5972,15.5735,-411.578,-0.00168058,-0.00157243,0.00590502,0.00637699,0.000190839,0.000195993,0.000988305
133,2.5972,15.5735,-411.578,-0.00138061,-0.00149695,0.00566238,0.00605714,0.000189503,0.000194754,0.0009816
134,2.5972,15.5735,-411.578,-0.000984598,-0.00151461,0.00505773,0.00542494,0.000187786,0.000192531,0.000972855
135,2.5972,15.5735,-411.578,-0.000235264,-0.00150966,0.00538305,0.00562718,0.000189299,0.000194245,0.000980515
136,2.5972,15.5735,-411.578,0.000511386,-0.00145686,0.00514513,0.00540149,0.000189103,0.000194642,0.000979598
137,2.5972,15.5735,-411.578,0.00125205,-0.00130208,0.00462562,0.0049889,0.000186465,0.000191866,0.000966141
138,2.5972,15.5735,-411.578,0.00128584,-0.0010425,0.00339326,0.00384385,0.000190877,0.000196079,0.000988756
139,2.5972,15.5735,-411.578,0.00117805,-0.000898546,0.00269534,0.00334043,0.000188045,0.000192679,0.000974083
140,2.5972,15.5735,-411.578,0.000773051,-0.00063047,0.00311958,0.00347419,0.000187619,0.000192963,0.000972043
141,2.5972,15.5735,-411.578,0.00051444,-0.000339028,0.00213105,0.00228037,0.000189717,0.000194876,0.00098262
142,2.5972,15.5735,-411.578,0.000677031,-0.000336842,0.0030542,0.00316944,0.000189765,0.000195072,0.000982877
143,2.5972,15.5735,-411.578,0.00141946,-0.000170979,0.00205555,0.0027379,0.000187226,0.000192595,0.000969757
144,2.5972,15.5735,-411.578,0.00220288,-0.000528835,0.00220915,0.00351828,0.000192315,0.000197571,0.000996204
145,2.5972,15.5735,-411.578,0.00293642,-0.000289911,0.00148674,0.00385088,0.000189347,0.000194728,0.000980887
146,2.5972,15.5735,-411.578,0.00374435,-0.000475574,0.002285,0.00455673,0.000189833,0.000195083,0.000983242
147,2.5972,15.5735,-411.578,0.00401809,-0.000322171,0.0020094,0.00480243,0.000188612,0.00019434,0.000977045
148,2.5972,15.5735,-411.578,0.00419786,-0.000103591,0.00110191,0.00458232,0.000189268,0.000194181,0.000980398
149,2.5972,15.5735,-411.578,0.00427618,0.000132383,0.00100319,0.00473621,0.000188209,0.000193168,0.000974766
150,2.5972,15.5735,-411.578,0.00394953,0.000277104,0.00100877,0.00426366,0.000191261,0.000196215,0.000990465
151,2.5972,15.5735,-411.578,0.00422048,0.000335417,0.00185884,0.00484894,0.000188274,0.000193749,0.000975205
152,2.5972,15.5735,-411.578,0.0046064,0.000241592,0.00142682,0.00500007,0.000190439,0.000195405,0.000986379
153,2.5972,15.5735,-411.578,0.00550256,0.000325619,0.000604448,0.00568132,0.000188823,0.000194229,0.000977975
154,2.5972,15.5735,-411.578,0.00640282,0.00019732,0.00101355,0.00662316,0.000192253,0.000197051,0.00099562
155,2.5972,15.5735,-411.578,0.00721408,0.000111891,8.91975e-05,0.00727015,0.000192344,0.000197833,0.000996259
156,2.5972,15.5735,-411.578,0.00749519,0.000399117,0.000152879,0.00762552,0.000192289,0.00019725,0.000995962
157,2.5972,15.5735,-411.578,0.00755629,0.000725174,0.00085754,0.00774078,0.00018703,0.000192492,0.000968698
158,2.5972,15.5735,-411.578,0.00754138,0.000834668,-0.000551739,0.00767343,0.000192402,0.000197595,0.000996684
159,2.5972,15.5735,-411.578,0.00757523,0.0011625,-0.00123154,0.00802482,0.000188828,0.000194449,0.000978322
160,2.5972,15.5735,-411.578,0.00748611,0.00113536,-0.00119733,0.00777999,0.000189,0.000193992,0.000979087
161,2.5972,15.5735,-411.578,0.00786631,0.0010028,-0.000630066,0.00803555,0.000186109,0.00019114,0.000964115
162,2.5972,15.5735,-411.578,0.00860904,0.000965378,-0.00153967,0.0088943,0.000190095,0.000195514,0.000984647
163,2.5972,15.5735,-411.578,0.0093574,0.000983759,-0.00111198,0.0095691,0.000191865,0.000197006,0.000993795
164,2.5972,15.5735,-411.578,0.00979372,0.00102468,-0.000644936,0.00999099,0.000192086,0.000197515,0.000995077
165,2.5972,15.5735,-411.578,0.00988157,0.00125068,-0.00169131,0.010181,0.00019203,0.000197427,0.000994629
166,2.5972,15.5735,-411.578,0.00987752,0.00145576,-0.00231172,0.0103329,0.000188193,0.000193579,0.000974632
167,2.5972,15.5735,-411.578,0.00964654,0.00163226,-0.00101872,0.0099268,0.000190039,0.000195101,0.000984434
