"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
5,1;5,1;1;1;1;1;0;0;-18265,8125668473;-0,670396983623505;
5,15;5,15;1;1;1;1;0;0;-18268,6431913617;-0,679176673293114;
5,2;5,2;1;1;1;1;0;0;-18271,7670707214;-0,688485205173492;
5,25;5,25;1;1;1;1;0;0;-18274,8909500812;-0,697752311825752;
5,3;5,3;1;1;1;1;0;0;-18278,014829441;-0,70656880736351;
5,35;5,35;1;1;1;1;0;0;-18281,1387088008;-0,715720131993294;
5,4;5,4;1;1;1;1;0;0;-18283,6993242806;-0,724911391735077;
5,45;5,45;1;1;1;1;0;0;-18285,6394554228;-0,734201595187187;
5,5;5,5;1;1;1;1;0;0;-18287,425806585;-0,743174403905869;
5,55;5,55;1;1;1;1;0;0;-18289,210369608;-0,75245201587677;
5,6;5,6;1;1;1;1;0;0;-18291,7352223017;-0,76200544834137;
5,65;5,65;1;1;1;1;0;0;-18294,4120668361;-0,771310403943062;
5,7;5,7;1;1;1;1;0;0;-18297,0906995098;-0,781227275729179;
5,75;5,75;1;1;1;1;0;0;-18299,7693321835;-0,790832936763763;
5,8;5,8;1;1;1;1;0;0;-18302,4461767179;-0,800001323223114;
5,85;5,85;1;1;1;1;0;0;-18305,1248093916;-0,809381678700447;
5,9;5,9;1;1;1;1;0;0;-18307,801653926;-0,818911716341972;
5,95;5,95;1;1;1;1;0;0;-18310,4802865997;-0,828747376799583;
6;6;1;1;1;1;0;0;-18313,1589192735;-0,837846621870995;
6,05;6,05;1;1;1;1;0;0;-18315,8357638079;-0,847836285829544;
6,1;6,1;1;1;1;1;0;0;-18318,5143964816;-0,857935100793839;
6,15;6,15;1;1;1;1;0;0;-18321,191241016;-0,867516621947289;
6,2;6,2;1;1;1;1;0;0;-18323,8698736897;-0,877038836479187;
6,25;6,25;1;1;1;1;0;0;-18326,5485063634;-0,886604711413383;
6,3;6,3;1;1;1;1;0;0;-18329,2253508978;-0,896342247724533;
6,35;6,35;1;1;1;1;0;0;-18331,9039835715;-0,906561985611916;
6,4;6,4;1;1;1;1;0;0;-18334,5808281059;-0,916543826460838;
6,45;6,45;1;1;1;1;0;0;-18337,2594607796;-0,926331505179405;
6,5;6,5;1;1;1;1;0;0;-18339,9380934533;-0,936633571982384;
6,55;6,55;1;1;1;1;0;0;-18342,6149379877;-0,94661258161068;
6,6;6,6;1;1;1;1;0;0;-18345,2935706614;-0,956749022006989;
6,65;6,65;1;1;1;1;0;0;-18347,9704151958;-0,966840013861656;
6,7;6,7;1;1;1;1;0;0;-18350,6490478695;-0,977398604154587;
6,75;6,75;1;1;1;1;0;0;-18353,3276805432;-0,987451002001762;
6,8;6,8;1;1;1;1;0;0;-18356,0045250776;-0,997658893465996;
6,85;6,85;1;1;1;1;0;0;-18358,6831577513;-1,0079775005579;
6,9;6,9;1;1;1;1;0;0;-18361,3600022857;-1,01827844977379;
6,95;6,95;1;1;1;1;0;0;-18364,0386349594;-1,02931536734104;
7;7;1;1;1;1;0;0;-18366,7172676331;-1,03908188641071;
7,05;7,05;1;1;1;1;0;0;-18369,3941121675;-1,0492917150259;
7,1;7,1;1;1;1;1;0;0;-18372,0727448412;-1,06031872332096;
7,15;7,15;1;1;1;1;0;0;-18374,7495893756;-1,07103884220123;
7,2;7,2;1;1;1;1;0;0;-18377,4282220493;-1,08165115118027;
7,25;7,25;1;1;1;1;0;0;-18380,1068547231;-1,09224863350391;
7,3;7,3;1;1;1;1;0;0;-18382,7836992575;-1,10287860035896;
7,35;7,35;1;1;1;1;0;0;-18385,4623319312;-1,11351616680622;
7,4;7,4;1;1;1;1;0;0;-18388,1391764656;-1,12440161406994;
7,45;7,45;1;1;1;1;0;0;-18390,8178091393;-1,13524302840233;
7,5;7,5;1;1;1;1;0;0;-18393,4946536737;-1,14608757197857;
7,55;7,55;1;1;1;1;0;0;-18396,1732863474;-1,15666277706623;
7,6;7,6;1;1;1;1;0;0;-18398,5890625438;-1,16775639355183;
7,65;7,65;1;1;1;1;0;0;-18400,8206603921;-1,17852114140987;
7,7;7,7;1;1;1;1;0;0;-18403,0522582404;-1,18920810520649;
7,75;7,75;1;1;1;1;0;0;-18405,2838560887;-1,20065174996853;
7,8;7,8;1;1;1;1;0;0;-18407,592343927;-1,21181063354015;
7,85;7,85;1;1;1;1;0;0;-18410,2691884614;-1,2225104868412;
7,9;7,9;1;1;1;1;0;0;-18412,9478211351;-1,23393036425114;
7,95;7,95;1;1;1;1;0;0;-18415,6264538088;-1,24568060040474;
8;8;1;1;1;1;0;0;-18418,3032983432;-1,25706806778908;
8,05;8,05;1;1;1;1;0;0;-18420,9819310169;-1,26817315816879;
8,1;8,1;1;1;1;1;0;0;-18423,6587755513;-1,27925187349319;
8,15;8,15;1;1;1;1;0;0;-18426,337408225;-1,29055753350258;
8,2;8,2;1;1;1;1;0;0;-18429,0160408987;-1,30223631858826;
8,25;8,25;1;1;1;1;0;0;-18431,3924780305;-1,31346046924591;
8,3;8,3;1;1;1;1;0;0;-18433,6240758788;-1,32571518421173;
8,35;8,35;1;1;1;1;0;0;-18435,8753432594;-1,33729323744774;
8,4;8,4;1;1;1;1;0;0;-18439,4015539621;-1,34829565882683;
8,45;8,45;1;1;1;1;0;0;-18442,8669679285;-1,36035174131393;
8,5;8,5;1;1;1;1;0;0;-18445,0180995082;-1,37185707688332;
8,55;8,55;1;1;1;1;0;0;-18446,8044506704;-1,3834622502327;
8,6;8,6;1;1;1;1;0;0;-18448,5890136934;-1,39506712555885;
8,65;8,65;1;1;1;1;0;0;-18450,4236446168;-1,40581503510475;
8,7;8,7;1;1;1;1;0;0;-18453,1022772905;-1,41825437545776;
8,75;8,75;1;1;1;1;0;0;-18456,0240969092;-1,43153846263885;
8,8;8,8;1;1;1;1;0;0;-18459,1497644083;-1,44292503595352;
8,85;8,85;1;1;1;1;0;0;-18462,273643768;-1,45480185747147;
8,9;8,9;1;1;1;1;0;0;-18465,3975231278;-1,4659583568573;
8,95;8,95;1;1;1;1;0;0;-18468,5214024876;-1,47850275039673;
9;9;1;1;1;1;0;0;-18471,6452818474;-1,49022981524467;
9,05;9,05;1;1;1;1;0;0;-18474,1200666407;-1,50216951966286;
9,1;9,1;1;1;1;1;0;0;-18475,942180589;-1,51384443044662;
9,15;9,15;1;1;1;1;0;0;-18477,7285317512;-1,52661010622978;
9,2;9,2;1;1;1;1;0;0;-18479,5130947742;-1,53876632452011;
9,25;9,25;1;1;1;1;0;0;-18481,9360235278;-1,5502855181694;
9,3;9,3;1;1;1;1;0;0;-18484,6146562015;-1,56313687562943;
9,35;9,35;1;1;1;1;0;0;-18487,2915007359;-1,5759040415287;
9,4;9,4;1;1;1;1;0;0;-18489,9701334096;-1,5874770283699;
9,45;9,45;1;1;1;1;0;0;-18492,646977944;-1,60004034638405;
9,5;9,5;1;1;1;1;0;0;-18495,3256106177;-1,61144122481346;
9,55;9,55;1;1;1;1;0;0;-18498,0042432914;-1,6246785223484;
9,6;9,6;1;1;1;1;0;0;-18500,6810878258;-1,63609579205513;
9,65;9,65;1;1;1;1;0;0;-18503,3597204995;-1,6491773724556;
9,7;9,7;1;1;1;1;0;0;-18506,0365650339;-1,6617451608181;
9,75;9,75;1;1;1;1;0;0;-18508,7151977076;-1,67219638824463;
9,8;9,8;1;1;1;1;0;0;-18511,3938303813;-1,68511956930161;
9,85;9,85;1;1;1;1;0;0;-18514,0706749157;-1,70117542147636;
9,9;9,9;1;1;1;1;0;0;-18516,7493075894;-1,71263709664345;
9,95;9,95;1;1;1;1;0;0;-18519,4261521238;-1,72420218586922;
10;10;1;1;1;1;0;0;-18522,1047847975;-1,73711553215981;
10,05;10,05;1;1;1;1;0;0;-18524,7834174712;-1,75039783120155;
10,1;10,1;1;1;1;1;0;0;-18527,4602620056;-1,76239460706711;
10,15;10,15;1;1;1;1;0;0;-18530,1388946793;-1,77592381834984;
10,2;10,2;1;1;1;1;0;0;-18532,8157392137;-1,78834840655327;
10,25;10,25;1;1;1;1;0;0;-18535,4943718874;-1,79928839206696;
10,3;10,3;1;1;1;1;0;0;-18538,1730045612;-1,81277200579643;
10,35;10,35;1;1;1;1;0;0;-18540,8498490956;-1,82694554328918;
10,4;10,4;1;1;1;1;0;0;-18543,5284817693;-1,84038326144218;
10,45;10,45;1;1;1;1;0;0;-18546,2053263037;-1,85311481356621;
