"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
4,65;4,65;1;1;1;1;0;0;-14876,4428005423;-0,207583643496037;
4,7;4,7;1;1;1;1;0;0;-14876,888941298;-0,209378041327;
4,75;4,75;1;1;1;1;0;0;-14877,3359761234;-0,211612600833178;
4,8;4,8;1;1;1;1;0;0;-14877,7821168791;-0,213498882949352;
4,85;4,85;1;1;1;1;0;0;-14878,2282576349;-0,215475354343653;
4,9;4,9;1;1;1;1;0;0;-14878,6743983906;-0,217342395335436;
4,95;4,95;1;1;1;1;0;0;-14879,1205391463;-0,219504497945309;
5;5;1;1;1;1;0;0;-14879,5675739717;-0,221219025552273;
5,05;5,05;1;1;1;1;0;0;-14879,6686038423;-0,222727302461863;
5,1;5,1;1;1;1;1;0;0;-14879,6686038423;-0,22478461265564;
5,15;5,15;1;1;1;1;0;0;-14879,6686038423;-0,227300301194191;
5,2;5,2;1;1;1;1;0;0;-14879,6686038423;-0,228897053748369;
5,25;5,25;1;1;1;1;0;0;-14879,6686038423;-0,23090623319149;
5,3;5,3;1;1;1;1;0;0;-14879,6686038423;-0,23380421102047;
5,35;5,35;1;1;1;1;0;0;-14879,9305662499;-0,2355663664639;
5,4;5,4;1;1;1;1;0;0;-14880,3767070057;-0,237140636891127;
5,45;5,45;1;1;1;1;0;0;-14880,8228477614;-0,238918587565422;
5,5;5,5;1;1;1;1;0;0;-14881,2698825868;-0,240788273513317;
5,55;5,55;1;1;1;1;0;0;-14881,7160233425;-0,243044663220644;
5,6;5,6;1;1;1;1;0;0;-14882,1621640983;-0,24488914757967;
5,65;5,65;1;1;1;1;0;0;-14882,608304854;-0,247304607182741;
5,7;5,7;1;1;1;1;0;0;-14883,0544456097;-0,24885855615139;
5,75;5,75;1;1;1;1;0;0;-14883,5014804351;-0,251265279948711;
5,8;5,8;1;1;1;1;0;0;-14883,9476211909;-0,253506302833557;
5,85;5,85;1;1;1;1;0;0;-14884,3910797376;-0,25539031252265;
5,9;5,9;1;1;1;1;0;0;-14884,4089611306;-0,257790237665176;
5,95;5,95;1;1;1;1;0;0;-14884,4089611306;-0,25952098891139;
6;6;1;1;1;1;0;0;-14884,4089611306;-0,260933730751276;
6,05;6,05;1;1;1;1;0;0;-14884,4089611306;-0,2629747800529;
6,1;6,1;1;1;1;1;0;0;-14884,4089611306;-0,266161896288395;
6,15;6,15;1;1;1;1;0;0;-14884,4089611306;-0,268097724765539;
6,2;6,2;1;1;1;1;0;0;-14884,7335084139;-0,270510744303465;
6,25;6,25;1;1;1;1;0;0;-14885,1805432393;-0,272469632327557;
6,3;6,3;1;1;1;1;0;0;-14885,626683995;-0,273772850632668;
6,35;6,35;1;1;1;1;0;0;-14886,0728247507;-0,275965351611376;
6,4;6,4;1;1;1;1;0;0;-14886,5189655065;-0,277627743780613;
6,45;6,45;1;1;1;1;0;0;-14886,9651062622;-0,280486531555653;
6,5;6,5;1;1;1;1;0;0;-14887,4121410876;-0,282675754278898;
6,55;6,55;1;1;1;1;0;0;-14887,8582818433;-0,28496528044343;
