Temps total (s),Temps de cycle écoulé (s),Nombre total de cycles,Cycles écoulés,Etape,Nombre total de cycles(Forme d'onde Linear),Nombre total de cycles(Forme d'onde Rotary),Pos (ľm),Effort_5N (N)
"0,237","0,237",1,1,1,0,0,"11347,5633","0,001273616"
"0,238","0,238",1,1,1,0,0,"11347,55078","0,001048767"
"0,239","0,239",1,1,1,0,0,"11347,56241","0,000697067"
"0,24","0,24",1,1,1,0,0,"11347,59191","0,000248002"
"0,241","0,241",1,1,1,0,0,"11347,61158","-0,000176597"
"0,242","0,242",1,1,1,0,0,"11347,59638","-0,000373912"
"0,243","0,243",1,1,1,0,0,"11347,56062","-0,000263774"
"0,244","0,244",1,1,1,0,0,"11347,5329","0,000113714"
"0,245","0,245",1,1,1,0,0,"11347,53648","0,000732006"
"0,246","0,246",1,1,1,0,0,"11347,56866","0,001551434"
"0,247","0,247",1,1,1,0,0,"11347,6089","0,002420759"
"0,248","0,248",1,1,1,0,0,"11347,62767","0,003184127"
"0,249","0,249",1,1,1,0,0,"11347,61247","0,003794376"
"0,25","0,25",1,1,1,0,0,"11347,58476","0,004232968"
"0,251","0,251",1,1,1,0,0,"11347,56866","0,004402734"
"0,252","0,252",1,1,1,0,0,"11347,57224","0,004175385"
"0,253","0,253",1,1,1,0,0,"11347,5937","0,003589606"
"0,254","0,254",1,1,1,0,0,"11347,60979","0,002779034"
"0,255","0,255",1,1,1,0,0,"11347,59638","0,001924364"
"0,256","0,256",1,1,1,0,0,"11347,56062","0,001141629"
"0,257","0,257",1,1,1,0,0,"11347,52486","0,00055016"
"0,258","0,258",1,1,1,0,0,"11347,51323","0,000240868"
"0,259","0,259",1,1,1,0,0,"11347,52933","0,000184705"
"0,26","0,26",1,1,1,0,0,"11347,55972","0,00032078"
"0,261","0,261",1,1,1,0,0,"11347,57582","0,000650431"
"0,262","0,262",1,1,1,0,0,"11347,57492","0,001121033"
"0,263","0,263",1,1,1,0,0,"11347,57313","0,001572263"
"0,264","0,264",1,1,1,0,0,"11347,58833","0,001887279"
"0,265","0,265",1,1,1,0,0,"11347,6089","0,00208016"
"0,266","0,266",1,1,1,0,0,"11347,62678","0,002175323"
"0,267","0,267",1,1,1,0,0,"11347,62588","0,002224194"
"0,268","0,268",1,1,1,0,0,"11347,60085","0,002228417"
"0,269","0,269",1,1,1,0,0,"11347,56509","0,002157013"
"0,27","0,27",1,1,1,0,0,"11347,54095","0,002037482"
"0,271","0,271",1,1,1,0,0,"11347,53916","0,001858585"
"0,272","0,272",1,1,1,0,0,"11347,55436","0,001566075"
"0,273","0,273",1,1,1,0,0,"11347,56777","0,001140521"
"0,274","0,274",1,1,1,0,0,"11347,57224","0,000658641"
"0,275","0,275",1,1,1,0,0,"11347,57224","0,000177626"
"0,276","0,276",1,1,1,0,0,"11347,57671","-0,000233506"
"0,277","0,277",1,1,1,0,0,"11347,59191","-0,000445633"
"0,278","0,278",1,1,1,0,0,"11347,60711","-0,000466448"
"0,279","0,279",1,1,1,0,0,"11347,60711","-0,000281003"
"0,28","0,28",1,1,1,0,0,"11347,59459","0,000128224"
"0,281","0,281",1,1,1,0,0,"11347,58297","0,000682906"
"0,282","0,282",1,1,1,0,0,"11347,57135","0,00126882"
"0,283","0,283",1,1,1,0,0,"11347,56688","0,00178651"
"0,284","0,284",1,1,1,0,0,"11347,56688","0,002105813"
"0,285","0,285",1,1,1,0,0,"11347,56688","0,002139732"
"0,286","0,286",1,1,1,0,0,"11347,56688","0,001887255"
"0,287","0,287",1,1,1,0,0,"11347,56688","0,001390791"
"0,288","0,288",1,1,1,0,0,"11347,56688","0,000597388"
"0,289","0,289",1,1,1,0,0,"11347,56866","-0,000348589"
"0,29","0,29",1,1,1,0,0,"11347,57671","-0,001162109"
"0,291","0,291",1,1,1,0,0,"11347,58833","-0,001627691"
"0,292","0,292",1,1,1,0,0,"11347,59996","-0,001734975"
"0,293","0,293",1,1,1,0,0,"11347,60532","-0,001482149"
"0,294","0,294",1,1,1,0,0,"11347,60711","-0,000817259"
"0,295","0,295",1,1,1,0,0,"11347,60353","0,000174311"
"0,296","0,296",1,1,1,0,0,"11347,59191","0,001207246"
"0,297","0,297",1,1,1,0,0,"11347,57492","0,002095676"
"0,298","0,298",1,1,1,0,0,"11347,55883","0,002807896"
"0,299","0,299",1,1,1,0,0,"11347,54274","0,003152839"
"0,3","0,3",1,1,1,0,0,"11347,53916","0,003059483"
"0,301","0,301",1,1,1,0,0,"11347,54721","0,002525323"
"0,302","0,302",1,1,1,0,0,"11347,56598","0,001586447"
"0,303","0,303",1,1,1,0,0,"11347,59102","0,000382485"
"0,304","0,304",1,1,1,0,0,"11347,6089","-0,000755228"
"0,305","0,305",1,1,1,0,0,"11347,61069","-0,001479932"
"0,306","0,306",1,1,1,0,0,"11347,60532","-0,001743226"
"0,307","0,307",1,1,1,0,0,"11347,5928","-0,001614946"
"0,308","0,308",1,1,1,0,0,"11347,57671","-0,001033354"
"0,309","0,309",1,1,1,0,0,"11347,57135","1,37E-05"
"0,31","0,31",1,1,1,0,0,"11347,57135","0,001286869"
"0,311","0,311",1,1,1,0,0,"11347,57135","0,00248367"
"0,312","0,312",1,1,1,0,0,"11347,56598","0,003461167"
"0,313","0,313",1,1,1,0,0,"11347,54989","0,00421328"
"0,314","0,314",1,1,1,0,0,"11347,53648","0,00468893"
"0,315","0,315",1,1,1,0,0,"11347,54095","0,004797443"
"0,316","0,316",1,1,1,0,0,"11347,55704","0,00455319"
"0,317","0,317",1,1,1,0,0,"11347,57313","0,003963178"
"0,318","0,318",1,1,1,0,0,"11347,58655","0,003071148"
"0,319","0,319",1,1,1,0,0,"11347,5928","0,001953701"
"0,32","0,32",1,1,1,0,0,"11347,5928","0,000762115"
"0,321","0,321",1,1,1,0,0,"11347,58476","-0,000336249"
"0,322","0,322",1,1,1,0,0,"11347,57671","-0,001155837"
"0,323","0,323",1,1,1,0,0,"11347,57135","-0,001572235"
"0,324","0,324",1,1,1,0,0,"11347,57492","-0,00160208"
"0,325","0,325",1,1,1,0,0,"11347,5785","-0,00133405"
"0,326","0,326",1,1,1,0,0,"11347,5785","-0,000810898"
"0,327","0,327",1,1,1,0,0,"11347,57224","-0,000104127"
"0,328","0,328",1,1,1,0,0,"11347,56419","0,000656405"
"0,329","0,329",1,1,1,0,0,"11347,55883","0,001352564"
"0,33","0,33",1,1,1,0,0,"11347,57045","0,001929537"
"0,331","0,331",1,1,1,0,0,"11347,59459","0,002326341"
"0,332","0,332",1,1,1,0,0,"11347,61426","0,002480829"
"0,333","0,333",1,1,1,0,0,"11347,61516","0,002287063"
"0,334","0,334",1,1,1,0,0,"11347,60622","0,001783003"
"0,335","0,335",1,1,1,0,0,"11347,5928","0,00107537"
"0,336","0,336",1,1,1,0,0,"11347,57582","0,000262181"
"0,337","0,337",1,1,1,0,0,"11347,56151","-0,000589434"
"0,338","0,338",1,1,1,0,0,"11347,55615","-0,001308247"
"0,339","0,339",1,1,1,0,0,"11347,55972","-0,001795483"
"0,34","0,34",1,1,1,0,0,"11347,56777","-0,001942208"
"0,341","0,341",1,1,1,0,0,"11347,56419","-0,001711557"
"0,342","0,342",1,1,1,0,0,"11347,55257","-0,00120861"
"0,343","0,343",1,1,1,0,0,"11347,55704","-0,000508134"
"0,344","0,344",1,1,1,0,0,"11347,57492","0,000263033"
"0,345","0,345",1,1,1,0,0,"11347,59549","0,000973553"
"0,346","0,346",1,1,1,0,0,"11347,608","0,001513218"
"0,347","0,347",1,1,1,0,0,"11347,60085","0,001748228"
"0,348","0,348",1,1,1,0,0,"11347,58833","0,001764372"
"0,349","0,349",1,1,1,0,0,"11347,57582","0,001620874"
"0,35","0,35",1,1,1,0,0,"11347,56509","0,001297644"
"0,351","0,351",1,1,1,0,0,"11347,56598","0,000784923"
"0,352","0,352",1,1,1,0,0,"11347,56956","0,000143875"
"0,353","0,353",1,1,1,0,0,"11347,57403","-0,00046643"
"0,354","0,354",1,1,1,0,0,"11347,57582","-0,000962159"
"0,355","0,355",1,1,1,0,0,"11347,57582","-0,001261956"
"0,356","0,356",1,1,1,0,0,"11347,57582","-0,001252326"
"0,357","0,357",1,1,1,0,0,"11347,57582","-0,000842805"
"0,358","0,358",1,1,1,0,0,"11347,57582","-4,30E-05"
"0,359","0,359",1,1,1,0,0,"11347,57939","0,000898424"
"0,36","0,36",1,1,1,0,0,"11347,58386","0,001843069"
"0,361","0,361",1,1,1,0,0,"11347,58655","0,002782545"
"0,362","0,362",1,1,1,0,0,"11347,58029","0,003563706"
"0,363","0,363",1,1,1,0,0,"11347,57224","0,004085335"
"0,364","0,364",1,1,1,0,0,"11347,56509","0,00421979"
"0,365","0,365",1,1,1,0,0,"11347,57045","0,003994103"
"0,366","0,366",1,1,1,0,0,"11347,5785","0,003437083"
